날짜,리뷰
2021.09.04,좋아요ㅜ저한테는 크기도 딱 적당했고 길이도 적당했어요 다만 수납공간은 그리 많지 않아서 수납공간이 많은 가방을 선호하시는 분들께는 추천하지 않습니당
2021.08.31,가방크기도 너무 크기 않아서 좋고 수납공간도 생각보다 넓은것같아요! 잘 쓰겠습니다
2021.08.24,"가방이 생각보다 가볍고 수납공간이 많아요.
자녀 등교용으로 추천드립니다."
2021.08.23,생각보다 크기가 크고 수납공간이 많아서 좋아요
2021.08.21,"노트북 수납하기 넉넉하고 가방 밴딩도 튼튼해서 좋아요
기존에 쓰던 샤오미 노트북백팩에 비해 같은 무게라도 더 가벼운 느낌이라 출근할때 자주 들고다닐 듯 합니다"
2021.08.19,너무 좋아여 어깨도 안 아프고 핏도 너무 좋아서 좋네영
2021.08.16,아주 예뻐요 수납 공간도 많고 특히 밑판이 튼튼해요
2021.08.10,가방 밑 면에 가죽처리 돼있어 모양 잘 잡힙니다 주머니 많아서 편해요 굿굿
2021.08.10,그냥 적당한 검은색 가방을 찾고 있었는데 너무 만족해요 칼하트 로고도 귀엽고 수납공간도 넉넉합니다 :)
2021.07.15,가방 너무 이쁘고 어느옷에나 코디해도 멋있어요~~~
2021.07.07,"오래전부터 사고 싶었는데 이제야 사네요.
정말 예쁘고 얼른 매고 어딘가에 가고 싶네요!!"
2021.07.07,칼하트 로고가 선명해서 넘 좋아용 수납공간도 적당해서 자주 매고다닐 것 같아용
2021.07.04,너무 크지도 않고 적당히 커서 전공책 넣고 다니기도 좋고 노트북 넣는 공간 따로있어서 따로 파우치 없이 넣고 다닐 수 있어서 좋아요!
2021.06.27,칼하트 너무 이쁩니다 수납공간도 넉넉하고 색감도 좋네요 잘매고 다닐고 같습니다
2021.06.25,"딸 아이 선물해줬는데 마음에 들어하네요~~
고등1인데 크기도 괜찮은듯하네요~~^^* 강추합니다~"
2021.06.23,사이즈도 적당하고 이뻐서 자주 메고 다닐것 같아요
2021.06.17,"깔끔하고 조아용
유행 안 타는 디자인이라 언제든지 맬 수 있을 거 같음"
2021.06.08,가방이 이쁘고 좋아요 ㅎㅎ 완전 만족이네용ㅇ !!칼하트 너무 이뻐영
2021.06.05,가볍고 착용감 좋아요! 그리고 매우 편해요 추천이요~~~
2021.06.04,사이즈 넉넉하고 데일리로 사용하기 좋을 것 같아요
2021.04.28,실물 진짜 이쁘고 사이즈 맘에 들고 크기도 적당하니 맘에 들어요 잘 산 거 같습니다
2021.04.23,이삿짐 들고 다니냐는 소리 많이 들었는데 이건 제 별명에 딱 맞는 가방이네요 수납도 짱짱하고 아주마음에 듭니다
2021.04.18,동생 입학기념으로 사줬는데 너무 맘에들어해요!
2021.04.13,크기도 적당하고 이뻐요!! 선물로 사줬는데 너무 맘에 들어하네요 디자인 너무 귀엽더고 좋아해요
2021.04.08,사진으로 나온것보다 조금 더 어두운 갈색입니다. 바지나 신발에 비슷한 톤의 브라운컬러 매치해서 톤온톤코디하면 예뻐요
2021.04.08,"생각 보다 약간 작은듯? 했지만
그래도 많이 넣고 다닐 생각은 아니라
괜찮은거 같습니다
할인가로 사는게 적당한것 같아요!"
2021.04.07,가방도 예쁘고 들고 다니기 너무 좋아요 수납 공간도 넉넉하네요
2021.04.04,책가방에 넣을 책들이 많아서 수납공간 큰 가방이 필요했는데 수납공간 넉넉해요! 너무 이뻐요!!
2021.03.31,사진보시면 아시겠지만 튼튼하고 아주 이쁩니다!
2021.03.29,대충 학교에 매고 다닐 용으로 샀는데 수납 공간도 넉넉하고 좋네용 만족합니다
2021.03.24,"수납도 잘되고 디자인도 깔끔해서 잘 쓰고 있습니다!
노트북도 잘 들어가서 좋아요"
2021.03.20,작년부터 살려고 계속 벼르고 있었는데 드디어 사게되서 너무좋네요
2021.02.26,잘사용하고있어요 크기가적당해서학원가방으로 써요
2021.02.25,색도 너무 매력적으로 잘나왔고 실루엣도 예뻐요
2021.02.20,"생각보다 수납이 어~~ㅁ청 많진 않아요!
근데 평상시 쓰고다니기엔 너무 좋아요"
2021.02.14,생각보다 크진 않아요 약간 옆에서 보면 거북이 등껍질 같아요
2021.02.14,오래써서 자렇게 된거.. 긴 한데 너무 잘 쭈글쭈글해짐 할미 책가방이라고 불러도 될 듯 ...그래도 칼하트 로고가 귀여우니까 봐주자
2022.04.03,디자인도 심플해서 예쁘고 수납공간도 널널해서 좋아요
