날짜,리뷰
2022.01.16,"일단 예뻐요!

키 159기준 가방 크기는 적당하지만 가방 조절끈이 살짝 위쪽에 있을 수 있어요.

지퍼색이 신경쓰일 줄 알았는데 그런거보다 가방 무게가 쪼오오금 무거웠어요. 그리고 수납이 잘 되긴하지만 한칸 정도 더 있으면 하는 아쉬움이 남았어요. 그래도 텀블러는 옆에 잘 넣고 다닐 수 있어서 좋아요.

아 근데 인기 많은 가방인 만큼 지하철 탈 때 자주 보여서 의도치 않은 커플템이 되어버릴수도,,,??"
2022.01.13,백화점에서 고르다 무신사들어오니 칼하트가 제일 예쁘네요
2022.01.07,"깔끔하고 예뻐요
생각했던 것보다 사이즈가 많이 크지는 않아요"
2022.01.04,노트북이랑 전공책 담을 큰 가방이 필요했는데 딱이네요!ㅎ
2021.12.31,가방이 이쁜 것 같습니다. 편하고 좋은 것 같습니다.
2021.12.27,수납공간 넉넉하고 편하게 메고 다니기 좋습니다
2021.12.23,"공간 넉넉하고 작아보이지만 은근 공간이 넓음.
방수도 됨"
2021.12.22,착용할땐 좀 작긴한데 막상 수납공간은 쓸만큼 있어요~~
2021.12.22,핏도 괜찮고 재질이며 사이즈 모두 나쁘지 않습니다
2021.12.20,예쁘고 수납공간 넉넉해서 좋아요. 초반에 빵빵하게 핏 만들어주면 더 예뻐집니다.
2021.12.18,블프때 싸게 샀다 생각합니다. 세일할때 가방 사야한다면 추천
2021.12.11,가성비 좋습니다 어디에나 스타일링하기 좋아요
2021.12.11,워낙 좋아하는 브랜드이기도 하고 너무 만족함니다
2021.12.07,생각보다 커요 그런데 이뻐요 강추 합니다 꼭꼭 꼭
2021.12.03,블프할인사서 만족스럽고 칼하트 가방사고싶었는데 맘에 듭니다
2021.12.02,적당한 크기 맘에들어요 진짜 무난한 책가방 느낌 블프때 싸게 사서 맘에듭니다
2021.12.02,정말예쁩니다!사이즈도 잘어울리고 색깔도 맘들어요.!
2021.12.01,제품 좋습니다. 튼튼하고 많이파세요 또사려고요
2021.12.01,사이즈 적당한거 같아요. 이쁘게 쓰고 있습니다. 좋아요.
2021.11.30,엄청만족합니다 :) 생각보다 튼튼해요 그리고 수납공간도 적당히 좋아요
2021.11.30,가방이 많이 안커서 좋네요 수납공간많아요 좋아요
2021.11.30,밑에 바닥이 가죽으로 되어있어서 맘에들어요. 15.6인치 노트북은 뒤에 노트북 있는자리에 충분히 들어가는데 파우치가 커서 파우치에 넣고 가방에 넣으려면 앞쪽에 그냥 넣어야돼요 그래도 크기도 충분합니다!
2021.11.29,가볍고 크기도 적당히 커서 들고 다니기에 딱 좋아요
2021.11.27,작을까 고민했는데 예쁘네요 선명하고 무슨옷에도 잘받아요 새학기에 잘 메고 다닐것같아요
2021.11.27,생각보다 가벙이 좀 작네요. 곳곳에 주머니가 많아서 편리합니다
2021.11.25,수납공간 진짜 넉넉하고 사이즈도 적당해서 너무 마음에 들었어요 짱귀
2021.11.24,무난하게 메고 다니기 딱 좋은 가방! 칼하트니깐 튼튼하겠죠ㅔ
2021.11.23,가방이 필요했는데 정말 패션이랑 딱맞는 가방을 알맞게 산거같아 너무너무 좋네요! 이쁘게 쓰겠습니당~
2021.11.22,"생각했던 것보다 더 만족스러워요!!
가방도 튼튼하고 무엇보다 예뻐요!"
2021.11.22,가방 이쁘고 넉넉하고 튼튼하고 다좋아유 최고여
2021.11.21,너무너무 이뻐용 ㅠ 근데 수납공간이 좀 부족합니당
2021.11.16,예쁘고 가벼워요! 책도 무겁지 않을 정도는 충분히 들어갈 것 같아 잘 메고 다닐 것 같아요!
2021.11.16,"배송도 빠르고 사이즈도 적당해서 좋아요!
잘 쓰겠습니다~~~~"
2021.11.12,"수납공간도 많고 평상시에 들고다니기 좋은
백팩!"
2021.11.10,수납공간도 좋고 들고다니기 편해서 너무 좋아요
2021.11.09,너무 거북이등껍질마냥 크지않고 예쁘게 잘 맞아요 수납공간도 많고 어깨 쿠션도 푹신합니다
2021.11.07,역시나 예쁘고 배송이 너무 빨라용 좋아요 ㅎㅎ 절대 후회 안함
2021.11.07,생각보다는 작은데 예뻐서 만족합니다! 남자가 메기에는 아담한 느낌이 있는 것 같기도 해요~근데 예뻐요
2021.11.04,가방자체 무게도 가볍고 수납공간도 넉넉해서 좋아요!
2021.11.04,역시 가방은 칼하트 인것 같습니다. 수납공간도 넉넉하고 튼튼해서 오래 매고 다닐 것 같아요 ㅎ
2021.11.03,크기는 아주 적당하고 가볍걱 들고 다닐정도로 정말 좋은거같아요!!
2021.10.27,크기도 적당하고 가벼워요! 오래 쓸 수 있을 것 같아요
2021.10.23,"커보였는데 생각보다 쪼꼬미
등치 큰 사람들은 미니미 멘다 생각하셔요"
2021.10.22,생각보다 많이 들어가서 좋아요! 그리고 디자인도 너무 이쁩니다.
