날짜,리뷰
2021.08.03,"수납공간이 하나로 퉁쳐져 있어서

뭔가 많이 담으려는 사람에겐 비추

가볍게 들고 다니려는 사람에겐 강추"
2021.07.30,의류는 칼하트죠.. 힙찔이인듯 아닌듯 멋도 살짜쿵 내줄수도있고 모두 칼하트합시다
2021.07.28,살짝 작지만 모든 룩에 다 잘 어울리고 엄청 예쁩니다
2021.07.25,조아용 사이즈 적당해용 근데 너무 가방이 쁘억쁘억해서 ㅠ 힘드러용 가방끈도 좀 두꺼워용
2021.07.21,역시 칼하트... ♥ 크기도 적당하고 가벼워서 학원 갈 때나 독서실 갈 때 들면 좋을 거 같아여
2021.07.20,무게도 좋고 사이즈도 괜찮아요 수납공간이 별로 없는 것만 제외하면 다 괜찮은거같아요
2021.07.19,세일할때 잘 샀어요 너무 예뻐요 잘 메고 다닐것 같아요
2021.07.11,싼값에 이것저것 수납가능한 가방을 찾고 있었는데 싼만큼 따로 분리된 수납공간은 없지만 꽉 우겨넣으면 생각보다 많이 들어가요! 저는 원래 쓰던 가방이 있었는데 등쪽에 쿠션?같은 구멍난 곳 때문에 옷에 부푸러기가 생겨서 안쓰고 있었는데 이 가방는 등쪽이 매끈해서 좋았어요!
2021.07.10,가방 자체가 심플해서 학원가방으로 사용하기 좋아요~~
2021.07.09,엄청작네요 생각보다 흠 상체작은분들 추천드려요
2021.07.08,사진이 밝게 찍혔는데 쌩 블랙 색이에요! 예쁩니다 사이즈는 사진보다 작게 느껴지니 실측 사이즈 확인하시고 사세요
2021.07.08,사이즈 적당하고 가벼워서 좋아요 학생인데 좋아요
2021.07.07,크기가 큰편은 아니에요. 수납도 많지는 않지만 간단히 책 넣어다니기에 괜찮아요.
2021.07.03,생각보다 가방 안에 많이 들어가요 가볍게 들고 다니기 좋아요
2021.06.30,생각보다 빨리 왔고 퀄리티가 좋아요!! 새 거라서 그런지 좀 빳빳하지만 너무 패셔너블해요ㅠㅠ
2021.06.29,무난합니다 사이즈 작을줄 알았는데 그렇게 작진않아요
2021.06.25,사진보다는어둡고 완전검은색 무난해요! 간단하게매고다니기좋아요
2021.06.25,생각햇건것보다 사이즈가 작다고 생각됨 배송은 빠름
2021.06.23,"가방이 뻣뻣해서 각은 잘 잡히나, 안쪽 주머니가 하나도 없어요. 지퍼도 반쪽까지만 열려서 조금 답답한 느낌입니다. 학원용이라 그나마 잘 들고 다녀요."
2021.06.21,"튼튼해서 막 이리저리 들고다니기 좋아요
다음학기 제 등껍질이 될 예정임"
2021.06.16,"1. 수납공간이 많이 필요하신 분은 비추
2. 칼하트 상표 부분이 하얗지 않고 의외로 꺼매요
3. 가볍게 메기에 너무 예뻐요 가격도 착함 ??"
2021.06.14,가방 크기가 딱 적당하고 디자인이 심플하고 깔끔해서 어디든 잘 어울립니다
2021.06.10,생각보다 엄청 빳빳하긴 하지만 그만큼 튼튼해서 좋아요
2021.06.10,로고때문에 가방이 너무 이쁘고 크기도 적당해요!
2021.06.08,생각보다 작네요 초등학생 가방 훔쳐매는 기분이에요
2021.06.07,백팩 필요해서 고민하다가 유행 안 탈거같아서 샀는데 귀엽고 예뻐서 맨날 들고다녀요ㅎㅎ
2021.06.04,가격도 괜찮고 생각보다 수납 많이 되는거 같아요ㅎㅎ
2021.06.02,"너무 크지않고 적당한 사이즈의 백팩이 필요해서 샀는데, 데일리로 가볍게 맬수 있을거 같아서 너무 좋아요!"
2021.06.02,백팩 하나 사려고 이리저리 둘러보다가 무난하면서 예쁜 가방을 찾았어요ㅎㅎ 휘뚜루마뚜루 공부할때 자주 쓸 것 같아용
2021.05.30,사진이랑 색깔도 똑같고 가벼워서 들고다니기 편하고 좋아용!
2021.05.26,가방 예쁘고 가벼워요! 근데 생각보다는 좀 작아요 무난하게 잘 쓸 것 같아용
2021.05.23,무난한 디자인의 깔끔한 가방 들고다니기 편하고 좋음
2021.05.22,세달이나 썼는데 여전히 지퍼가 빡빡해요..영원히 부드러워지지 않을런지 ㅠ
2021.05.21,진짜 넘모 예뻐요 그냥.... 수납공간 부족하고 사이즈가 작아서 16인치 노트북이 겨우 들어가는 게 흠인데 너무 예뻐서 걍 맨날 들고 다닙니다ㅎ
2021.05.18,생각보다 작아서 조금 실망 가방은 늘 실측 비교하기가 어려움..
