날짜,리뷰
2021.11.19,11/15일 예약배송 되기만을 목 빠지게 기다렸어요 ㅠㅠ ㅋㅋ 10만원 초반대로 좋은상품 겟 해서 행복해요 .. ?? 제 키가 큰 편인데 크로스끈이 엄청 긴 것도 행복하고 무엇보다 크로스끈에 스트레치엔젤스 문구 있는것도 넘 이뻐용 흑흑 ㅠㅠ 감사합니다!
2021.11.17,"가방이 작긴 작지만 그래도 들어갈 건 다 들어갑니다!
나일론이라 아주 가볍고 좋아요ㅎㅎ
만족합니당"
2021.11.17,선물용으로 샀는데 딱 필요한 물건들만 넣어서 휘뚜루마뚜루 들고 다니기 좋아요
2021.11.10,검정옷에 베이지색 운동화 자주 신는데 딱 입니다. 색감이 좋아요.
2021.11.08,"두번째 사진처럼 얇은 가방안에 들어있었습니다.
로고도 힙 하고 스트랩의 스트레치부분도 힙하네요.
사진에서 보시다시피 대기업 박음질이라 그런지 반듯하고 탄탄하네요. 좋습니당"
2021.10.29,"사이즈가 보기보단 작은데
그래도 가방을 메면 너무 예뻐요 ㅋㅋ
요즘 저의 최애 가방입니다아"
2021.10.21,"이것저것 다 들어가는 사이즈는 아니지만 립스틱, 지갑, 보조배터리 정도는 들어가는 사이즈에요 ! 트레이닝복에도 찰떡이고 캐주얼에도 잘 어울려용

+ 가방 스트랩은 하트 파니니 스트랩입니당"
2021.10.20,전부터 사고 싶었는데 세일을 안해서 계속 기다렸는데 세일을 해서 드디어 구매를 했어용 ~ 이뻐용 ~ 휘루룩 들고 다닐수 있어서 좋은것 같아요! 카드 지갑도 사은품으로 받아서 너무 좋아용 ~
2021.10.19,허니제이퇴근가방 너무너무 이쁘니다 그냥샀는데맘에드메
2021.10.17,작고 귀여운데 생각보다 수납은 넉넉하게 많이 들어가요 편하게 들고 다니기 좋아요
2021.10.15,좋네용 저렴하게 구매 했고 평상시에 잘들고 다닐것같구 판매자님 친절하게 안내 해주셔서 감사합니다!????????
2021.10.13,가방 색감도 너무 좋구요 실제로 보니 실물이 더 이뻐요!!!
2021.10.09,색감도 디자인도 너무 예쁘고 끈도 예쁜데 숄더끈은 너무 짧고 크로스는 너무 길어서 좀 수선하려구오
2021.10.02,호보백 구매하려던 찰나에 허니제이가 맨 가방으로 유명하길래 한 번 구매해봤습니다 ㅎㅎ 마카롱백이랑 고민하다가 나일론으로 구매했는데 만족해요! 수납도 화장품이랑 핸드폰 이것저것 잘 들어갈 거 같네요
2021.09.28,"작지만 소지품 이것저것 많이 들어갑니다.
활용도가 높아요"
2021.09.25,사진이랑 똑같아요 귀여워요 작은백은 오랜만인데 가볍게 들기에 좋아요
2021.09.21,가방끈이 두 개가 오기 때문에 두 가지버전으로 착용이 가능함!!!! 편하고 캐주얼한 느낌일때는 긴끈을 활용해 크로스로! 가격도 적당하고 로고도 예쁘고 완전 대만족입니당!!!! 데일리로 추천이요
2021.09.18,포장이 잘 되어오는게 맘에 들어요 가방케이스도 함께여서 더 좋은것 같아요
2021.08.19,실물이 예뻐요. 살짝 뒷면에 스크래치가 난 상태로 배송이 오긴 했어요.
2021.08.15,"수납공간이 엄청 넓은편은 아니지만 평소 갖고 다니는 화장품은 다 들어가서 좋아용
그리고 로고보이는 스트랩도 이쁘고 그냥 손으로 들어도 예쁨"
2021.09.18,포장이 잘 되어오는게 맘에 들어요 가방케이스도 함께여서 더 좋은것 같아요
2021.08.19,실물이 예뻐요. 살짝 뒷면에 스크래치가 난 상태로 배송이 오긴 했어요.
2021.08.15,"수납공간이 엄청 넓은편은 아니지만 평소 갖고 다니는 화장품은 다 들어가서 좋아용
그리고 로고보이는 스트랩도 이쁘고 그냥 손으로 들어도 예쁨"
2022.04.01,색도 진자 예쁘고 좋아요ㅠㅠ 생각보다 작지도않고 깔별로모으고싶음
2022.03.30,"생각했던 크기보다 좀 작았지만 만족해요! 특히 비오는날 그냥 물기 툭툭 털어내면 되서 넘 좋고, 스트랩도 가죽이고 중간에 이음새가 고정되어있지 않아서 더 편합니다 ~"
2022.03.26,"넘귀여워요! 데일리로 자주하고 다닐것 같아여ㅋㅋ
저희엄마가 쓰고싶다고하셔여ㅋㅋ"
2022.03.25,"생각보다 작으면 어쩌지 했지만 사이즈 너무 만족해오!
지갑이랑 팩트넣고도 넉넉합니다"
2022.03.19,Good!!! 마음에 쏙! 들어요! 배송은 늦었지만 그래도 만족합니당
2022.03.18,완전 귀여워요ㅠ 조금 작은 사이즈지맘 이런 가방은 뭐 보부상처럼 들고 다닐 거 아니니까요!
2022.03.17,진ㅋ자 마음에 듭니다 대신 끈 길이를 더 줄이고 싶은데 그게 안 되네요ㅠ
2022.03.16,스트랩이 두꺼워서 오래매고 있어도 어깨가 안아플거같아요!!
2022.03.16,예쁘게 잘 쓰고 있습니다. 색상이 매력이 있습니다.
2022.03.15,제가 갖고 싶은 아이템이었지만 친구 선물로 줬는데 마음에 들어했어요! 대일리로 쓰기 좋고 크기도 적당합니다
2022.03.15,여름에 출퇴근할때 가볍게 들고 다니기 좋을것같아오 긔여워요
2022.03.15,"사이즈도 딱 적당하고 재질도 너무 좋아용
스타일도 2개로 할수있어서 좋아요"
2022.03.12,생각보다 엄청 작네요ㅜㅡㅜ 그래도 이뻐서 만족합니다!
2022.03.12,친구 생일선물로 사줬는데 이쁘다고 좋아했슙니다~~!
2022.03.10,원래 미니백 좋아해서 이정도면 그렇게 작다고 생각안하고 넘 귀엽고 어떤스타일이든 잘 어울려요
2022.03.08,"생각 보다 작지만 그래도 이뻐요.
가볍게 챙겨서 들고나가기에 딱이예요"
2022.03.03,호보백 갖고 싶었는데 넘 예뻐서 보자마자 구매했어요! 가방은 작지만 은근 많이 들어가서 좋아요
2022.03.03,진짜 심플하고 어디에나 잘 어울리고 활용도 갑이에요 ㅠㅠ 웬만한건 다 들어가고 완전 애용중입니다
2022.02.28,리사이클이라 그런지 재질이 다른 색상보다는 단단하지 않아요 그래도 잘 매고 다니고있어요! 겨울에는 손시렵지 않게 펄을 달아서 가지고 다니니 정말 좋더라고요! 다른 색상도 구매하고싶어요~
2022.02.24,일단 손잡이에 퍼커버를 무료로 받을시기에 사서 너무 좋았구요. 퍼가 있으니까 확실히 다 이쁜 거 같아요 ㅋㅋㅠ수납력이 좋다곤 할 수 없지만 생각보다 수납력도 괜찮았어요. 색도 이쁘구요:) 봄에 벚꽃놀이 할 때 착용하면 더 이쁠 것 같아요
2022.02.23,"예전부터 사고싶었던 백이에요
조금 가방이 작은편이라 팩트나 휴대폰?정도로 가볍게 들고다니기 좋음!!"
2022.02.19,색이 진짜 딱 너무 예쁜 베이지색이에요. 수납공간도 넉넉하게 이것저것 다 들어가요! 핸드폰도 들어가고 너무 맘에 들어요 다른색상도 시고싶어요
2022.02.18,여기저기 들고다니기 딱이에요 스트랩도 있는데 그냥 드는게 더 예뻐요
2022.02.18,비슷한거 선물받아서 취소할까 하다 걍 받았는데 예뻐요 핑크러버라 매우 만족합니당
2022.02.17,동생 생일선물로 줬는데 좋아해서 다행이에요. 대신 생각했던 것보다도 더 작고 훨씬 더 작고 매우 작아서 잘 보고 사셔야합니다
2022.02.17,"선물 주려고 주문했는데~!!!
너무너무 예쁘다며~엄청 만족했어요!!!"
2022.02.15,한참고민하다가 구매했는데 너무 마음에 들어요!
2022.02.15,너무 예뻐영 귀염뽀짝 그 자체 고민하다가 샀는데 잘샀네여
2022.02.15,"너무 예뻐요 퀄리티도 짱짱하니
너무 좋네요. 잘 멜게요!"
2022.02.10,"가방은 만족 했습니다 선물하려구요
다만 포장이 조금 ㅜ 아쉬웠어요
가방보다 두어배 큰 상자에 덩그러니 있더라구요
배송되며 상단에 붙여둔 테이프도 양쪽으로 틑어져서 위에만 간신히 붙어있는 상태로 왔습니다
훼손은 안됐지만 완충제를 넣거나 가방 사이즈에 맞는 상자를 쓰시면 어떨까요...!"
2022.02.10,생각보다 더 작네요~ 그래도 너무 귀엽고 은근 수납도 꽤 들어가요~ 휘뚜르마뚜르 들기 좋은 호보백이에요
2022.02.08,"사진이랑 실물 똑같아요 예상했던대로
너무 마음에 들어여!"
2022.02.08,"너무 귀여운 사이즈에요
예뻐요 허니제이언니 퇴근백 넘넘 맘에 듭니다"
2022.02.06,생각보다 밝긴햇지만 여기저기 들기 좋을거같아요
2022.02.06,생각보다 좀 작은 사이즈이고 후리해보이는 스타일이라 놀라긴 했어요! 그래도 편하게 메고 다니기엔 나쁘지 않은데... 어깨끈 글자에 찍힘이 있어서 별 하나 뺐어요ㅠ 지퍼도 매끄럽진 않아서 개선되면 좋겠어요ㅎㅎ
2022.02.05,"수납공간이 넓지는 않지만 평소 많이 들고다니지 않으면 딱인것같아요
여기저기 들고다니기 편하고 잘어울리네요"
2022.02.05,배송은 무지빨리왓구요 화면이랑똑같아요 가볍고 이뿌고데일리로자주할거같아요 너무이뿝니다
2022.02.04,수납 공간은 좀 부족한데 진짜 너무 예뻐요ㅠ 사계절 다 유용하게 사용할듯
2022.02.04,작아보여서 별로 안들어갈거같았는데 생각보다 많이 들어가용 크로스도 되고 핸드백도 돼서 편하고 좋습니당 크로스 끈 디자인이 너무 이뻐용 ㅠ
2022.02.04,"어깨끈이 조금 길어요
디자인 스타일은 다좋습니다"
2022.01.27,"가볍게 들고 다니기 좋아보였어요. 진짜 가볍긴 하구요ㅎ 모양은 사각형태로 좀 각이 잡혔네요. 물건 꺼내고 넣을때 지퍼에 손이 좀 쓸려요. 크로스끈이 이뻐요. 포인트되서 좋아요. 폰, 작은지갑, 그외 이것저것 그래도 어느정도는 들어가요."
2022.01.24,편하고가볍고데일리로좋아요 너무귀여움 다른색도사야겟음
2022.01.23,예뻐요?? 질도 튼튼하구 생각보다 많이 들어가요 여행내내 휘뚜루 마뚜루 들고다녔어요
2022.01.22,여자친구 사줬는데 간편하게 들고 다니기 좋다고 좋아하네요 :)
